date,shift,feed_fe_pct,feed_sio2_pct,feed_al2o3_pct,feed_loi_pct,minus_10micron_pct,minus_45micron_pct,minus_150micron_pct,concentrate_fe_pct,concentrate_sio2_pct
2025-11-01,A,54.36923076923078,11.28,4.72,4.5,9.329103345961217,42.58755660271718,93.0,60.98461538461539,5.94
2025-11-01,B,54.90909090909092,9.98,4.81,4.79,9.329103345961217,42.58755660271718,93.0,61.65174825174826,6.56
2025-11-01,C,55.43916083916085,10.08,4.44,4.17,9.329103345961217,42.58755660271718,93.0,60.88951048951049,6.35
2025-11-02,A,54.93846153846155,10.14,5.52,4.51,8.307116200775626,39.13543604347848,93.33333333333333,61.47062937062937,5.51
2025-11-02,B,54.2020979020979,10.42,5.65,4.53,8.307116200775626,39.13543604347848,93.33333333333333,61.85524475524476,5.85
2025-11-02,C,53.91328671328672,9.81,5.21,5.27,8.307116200775626,39.13543604347848,93.33333333333333,61.80629370629372,5.39
2025-11-03,A,55.66223776223777,9.78,4.95,3.88,8.551815076512586,37.78278191512918,92.0,61.94125874125875,5.78
2025-11-03,B,55.32167832167833,10.16,4.81,4.51,8.551815076512586,37.78278191512918,92.0,61.87552447552448,6.1
2025-11-03,C,54.26083916083917,10.91,4.67,4.72,8.551815076512586,37.78278191512918,92.0,61.45524475524476,6.17
2025-11-04,A,54.71678321678322,10.76,5.23,4.03,8.823485986778236,36.15148404216004,93.0,60.95944055944057,7.25
2025-11-04,B,55.14475524475525,10.55,5.36,4.04,8.823485986778236,36.15148404216004,93.0,62.57342657342658,5.58
2025-11-04,C,55.40839160839162,9.65,4.82,4.29,8.823485986778236,36.15148404216004,93.0,62.63636363636365,5.34
2025-11-05,A,56.44265734265735,9.16,4.12,4.1,7.463169133141665,31.37357717553652,86.66666666666667,61.69580419580421,5.85
2025-11-05,B,55.02797202797203,10.16,4.47,4.52,7.463169133141665,31.37357717553652,86.66666666666667,60.693006993007,7.2
2025-11-05,C,55.86643356643358,8.44,4.46,4.67,7.463169133141665,31.37357717553652,86.66666666666667,62.52517482517483,4.84
2025-11-06,A,55.17482517482518,10.63,5,4.14,7.93436222448701,33.5860584653228,93.33333333333333,61.993006993007,5.54
2025-11-06,B,54.55664335664336,10.66,4.39,4.89,7.93436222448701,33.5860584653228,93.33333333333333,62.86153846153847,4.96
2025-11-06,C,54.71048951048952,11.56,4.08,4.07,7.93436222448701,33.5860584653228,93.33333333333333,62.18811188811189,5.76
2025-11-07,A,55.51468531468532,9.85,5.22,4.39,7.990027497987346,32.04143705804413,92.0,61.71888111888113,6.04
2025-11-07,B,54.31048951048952,11.6,5.24,4.33,7.990027497987346,32.04143705804413,92.0,63.1846153846154,5.49
2025-11-07,C,55.57762237762238,10.64,4.82,3.84,7.990027497987346,32.04143705804413,92.0,62.3909090909091,5.53
2025-11-08,A,55.51328671328672,9.16,4.36,4.95,8.018645796523092,36.41007416671044,94.33333333333333,62.66993006993007,5.83
2025-11-08,B,54.94195804195805,11.23,4.82,4.16,8.018645796523092,36.41007416671044,94.33333333333333,62.57342657342658,5.45
2025-11-08,C,54.72027972027972,10.67,4.59,4.51,8.018645796523092,36.41007416671044,94.33333333333333,61.86293706293706,5.62
2025-11-09,A,55.9888111888112,9.74,3.71,4.2,7.373077379667951,34.75413164915383,93.0,62.05244755244757,5.46
2025-11-09,B,55.7874125874126,9.61,4.67,4.18,7.373077379667951,34.75413164915383,93.0,62.15384615384616,5.53
2025-11-09,C,54.88601398601399,8.77,4.52,5.42,7.373077379667951,34.75413164915383,93.0,59.7951048951049,7.57
2025-11-10,A,54.06153846153846,10,6.17,4.7,10.20998169265303,42.31168555600841,93.66666666666667,61.1839160839161,5.37
2025-11-10,B,55.00769230769231,9.94,4.68,4.7,10.20998169265303,42.31168555600841,93.66666666666667,62.15244755244756,5.58
2025-11-10,C,55.77832167832168,9.05,3.7,4.48,10.20998169265303,42.31168555600841,93.66666666666667,60.92587412587414,6.53
2025-11-11,A,54.96293706293707,9.94,4.58,4.67,9.252904607513038,42.55353161331687,92.66666666666667,60.41258741258741,7.43
2025-11-11,B,54.26783216783218,10.03,4.63,5.09,9.252904607513038,42.55353161331687,92.66666666666667,58.61678321678322,9.47
2025-11-11,C,55.48531468531469,9.8,4.58,4.5,9.252904607513038,42.55353161331687,92.66666666666667,61.40209790209791,6.23
2025-11-12,A,55.87552447552449,9.04,4.77,4.35,7.471339659316366,36.80100603664375,93.0,61.08531468531469,5.96
2025-11-12,B,53.44895104895106,10.77,5.23,4.97,7.471339659316366,36.80100603664375,93.0,59.24545454545455,9.27
2025-11-12,C,54.35104895104896,10.31,4.29,4.79,7.471339659316366,36.80100603664375,93.0,58.84965034965035,9.19
2025-11-13,A,-,-,-,-,11.95464899860693,46.05019696149808,94.66666666666667,59.07412587412588,9.04
2025-11-13,B,54.90279720279721,9.27,4.38,5.17,11.95464899860693,46.05019696149808,94.66666666666667,59.08671328671329,8.39
2025-11-13,C,55.17832167832168,9.53,4.24,4.81,11.95464899860693,46.05019696149808,94.66666666666667,60.98951048951049,6.55
2025-11-14,A,54.39160839160839,10.69,4.73,4.8,11.78574461039228,46.72017633349765,94.33333333333333,60.27552447552448,7.33
2025-11-14,B,53.73636363636364,9.69,5.34,5.27,11.78574461039228,46.72017633349765,94.33333333333333,61.193006993007,6.03
2025-11-14,C,55.78671328671329,8.65,3.73,5,11.78574461039228,46.72017633349765,94.33333333333333,61.20069930069931,5.42
2025-11-15,A,55.25244755244756,9.78,4.44,4.7,11.41405098916497,47.87462038949732,95.33333333333333,61.12167832167833,6.17
